Ticker,Published,Traded,Filed_After,Action,Amount
559242Z,3/12/2025,2/17/2025,22,BUY,1000–15000
ARCC,3/12/2025,2/17/2025,22,BUY,1000–15000
PARA,2/7/2025,1/12/2025,25,BUY,1000–15000
SRE,2/7/2025,1/12/2025,25,BUY,1000–15000
ELV,2/7/2025,1/12/2025,25,BUY,1000–15000
BK,2/7/2025,1/12/2025,25,BUY,1000–15000
VFC,11/12/2024,10/23/2024,19,BUY,1000–15000
KD,11/12/2024,10/23/2024,19,SELL,1000–15000
ADSK,11/12/2024,10/16/2024,26,SELL,1000–15000
AUY,11/12/2024,10/16/2024,26,SELL,1000–15000
KD,11/12/2024,10/24/2024,18,SELL,1000–15000
FHN,11/12/2024,10/14/2024,28,SELL,1000–15000
KD,11/12/2024,10/24/2024,18,BUY,1000–15000
GM,11/12/2024,10/16/2024,26,BUY,1000–15000
BX,11/12/2024,10/14/2024,28,BUY,1000–15000
CNXC,8/15/2024,7/18/2024,27,SELL,1000–15000
CNXC,8/15/2024,7/18/2024,27,BUY,1000–15000
MRO,8/13/2024,1/23/2023,567,SELL,1000–15000
8376923Z,8/13/2024,10/25/2023,292,BUY,15000–50000
8376923Z,8/13/2024,10/25/2023,292,BUY,15000–50000
GE,8/13/2024,9/14/2023,333,SELL,1000–15000
GE,8/13/2024,5/10/2023,460,BUY,1000–15000
KMI,8/13/2024,5/9/2023,461,BUY,1000–15000
VTRS,8/13/2024,11/29/2023,257,BUY,1000–15000
DELL,8/13/2024,5/9/2023,461,BUY,1000–15000
LDOS,8/13/2024,5/1/2023,469,BUY,1000–15000
F,8/13/2024,5/3/2023,467,BUY,1000–15000
ADSK,8/13/2024,11/19/2023,267,BUY,1000–15000
AUY,8/13/2024,5/1/2023,469,BUY,1000–15000
PARA,8/13/2024,9/26/2023,321,BUY,1000–15000
PSXP,8/13/2024,6/21/2023,418,BUY,1000–15000
CQP,8/13/2024,5/10/2023,460,BUY,1000–15000
KD,8/13/2024,5/3/2023,467,BUY,1000–15000
CNXC,8/13/2024,8/31/2023,347,BUY,1000–15000
VRSN,8/13/2024,5/24/2023,446,BUY,1000–15000
FHN,8/13/2024,11/19/2023,267,BUY,1000–15000
JPM,8/13/2024,5/24/2023,446,BUY,1000–15000
WDC,8/13/2024,5/9/2023,461,BUY,1000–15000
WFC,8/13/2024,11/19/2023,267,BUY,1000–15000
JPM,8/13/2024,11/19/2023,267,BUY,1000–15000
DUK,8/13/2024,11/26/2023,260,SELL,1000–15000
DUK,8/13/2024,5/3/2023,467,BUY,1000–15000
BAC,8/13/2024,5/24/2023,446,BUY,1000–15000
STLD,8/13/2024,5/1/2023,469,BUY,1000–15000
NOK,7/15/2024,6/5/2024,36,BUY,1000–15000
FCX,7/15/2024,6/20/2024,21,BUY,1000–15000
