Ticker,Published,Traded,Filed_After,Action,Amount
ABBV,3/20/2025,3/16/2025,2,BUY,1000–15000
GOOGL,3/20/2025,3/16/2025,2,BUY,1000–15000
AAPL,3/20/2025,3/16/2025,2,BUY,1000–15000
AMAT,3/20/2025,3/16/2025,2,BUY,1000–15000
BX,3/20/2025,3/16/2025,2,BUY,1000–15000
CAH,3/20/2025,3/16/2025,2,BUY,1000–15000
CAT,3/20/2025,3/16/2025,2,BUY,1000–15000
COST,3/20/2025,3/16/2025,2,BUY,1000–15000
DLR,3/20/2025,3/16/2025,2,BUY,1000–15000
KMI,3/20/2025,3/16/2025,2,BUY,1000–15000
NVDA,3/20/2025,3/16/2025,2,BUY,1000–15000
UPS,3/20/2025,3/16/2025,2,BUY,1000–15000
CRWD,3/10/2025,3/6/2025,2,BUY,1000–15000
DG,3/10/2025,3/6/2025,2,BUY,1000–15000
DG,3/10/2025,3/2/2025,6,BUY,1000–15000
GS,3/10/2025,3/6/2025,2,BUY,1000–15000
PI,3/10/2025,3/2/2025,6,BUY,1000–15000
TSLA,3/10/2025,3/6/2025,2,BUY,1000–15000
ADBE,2/17/2025,2/11/2025,2,BUY,1000–15000
AAPL,2/17/2025,2/11/2025,2,BUY,1000–15000
DVN,2/17/2025,2/11/2025,2,BUY,1000–15000
GS,2/17/2025,2/11/2025,2,BUY,1000–15000
INTC,2/17/2025,2/11/2025,2,BUY,1000–15000
META,2/17/2025,2/11/2025,2,BUY,1000–15000
MSFT,2/17/2025,2/11/2025,2,BUY,1000–15000
NSC,2/17/2025,2/11/2025,2,BUY,1000–15000
PLTR,2/17/2025,2/11/2025,2,BUY,1000–15000
UPS,2/17/2025,2/11/2025,2,BUY,1000–15000
AMD,1/28/2025,1/7/2025,19,BUY,1000–15000
AMD,1/28/2025,1/7/2025,19,BUY,1000–15000
AMD,1/28/2025,1/7/2025,19,BUY,1000–15000
AMD,1/28/2025,1/20/2025,6,BUY,1000–15000
AMD,1/28/2025,1/7/2025,19,BUY,1000–15000
GOOGL,1/28/2025,1/7/2025,19,BUY,1000–15000
GOOGL,1/28/2025,1/7/2025,19,BUY,1000–15000
GOOGL,1/28/2025,1/7/2025,19,BUY,1000–15000
AMZN,1/28/2025,1/7/2025,19,BUY,1000–15000
AMZN,1/28/2025,1/7/2025,19,BUY,1000–15000
AMZN,1/28/2025,1/7/2025,19,BUY,1000–15000
AMZN,1/28/2025,1/7/2025,19,BUY,1000–15000
AMZN,1/28/2025,1/20/2025,6,BUY,1000–15000
ASML,1/28/2025,1/7/2025,19,BUY,1000–15000
BRK/B,1/28/2025,1/7/2025,19,BUY,1000–15000
BRK/B,1/28/2025,1/7/2025,19,BUY,1000–15000
BRK/B,1/28/2025,1/7/2025,19,BUY,1000–15000
CAH,1/28/2025,1/20/2025,6,BUY,1000–15000
CAT,1/28/2025,1/7/2025,19,BUY,1000–15000
CAT,1/28/2025,1/7/2025,19,BUY,1000–15000
CAT,1/28/2025,1/7/2025,19,BUY,1000–15000
DVN,1/28/2025,1/20/2025,6,BUY,1000–15000
LLY,1/28/2025,1/20/2025,6,BUY,1000–15000
HD,1/28/2025,1/7/2025,19,BUY,1000–15000
INTC,1/28/2025,1/7/2025,19,BUY,1000–15000
INTC,1/28/2025,1/7/2025,19,BUY,1000–15000
JNJ,1/28/2025,1/7/2025,19,BUY,1000–15000
JNJ,1/28/2025,1/7/2025,19,BUY,1000–15000
JNJ,1/28/2025,1/7/2025,19,BUY,1000–15000
JPM,1/28/2025,1/7/2025,19,BUY,1000–15000
JPM,1/28/2025,1/7/2025,19,BUY,1000–15000
JPM,1/28/2025,1/7/2025,19,BUY,1000–15000
JPM,1/28/2025,1/7/2025,19,BUY,1000–15000
KMI,1/28/2025,1/20/2025,6,BUY,1000–15000
META,1/28/2025,1/20/2025,6,BUY,1000–15000
NEE,1/28/2025,1/20/2025,6,BUY,1000–15000
NSC,1/28/2025,1/20/2025,6,BUY,1000–15000
NVDA,1/28/2025,1/20/2025,6,BUY,1000–15000
NVDA,1/28/2025,1/7/2025,19,BUY,1000–15000
OXY,1/28/2025,1/20/2025,6,BUY,1000–15000
ODFL,1/28/2025,1/20/2025,6,BUY,1000–15000
PANW,1/28/2025,1/20/2025,6,BUY,1000–15000
PANW,1/28/2025,1/7/2025,19,BUY,1000–15000
PANW,1/28/2025,1/7/2025,19,BUY,1000–15000
SCCO,1/28/2025,1/7/2025,19,BUY,1000–15000
TSLA,1/28/2025,1/7/2025,19,BUY,1000–15000
TSLA,1/28/2025,1/7/2025,19,BUY,1000–15000
TSLA,1/28/2025,1/7/2025,19,BUY,1000–15000
TSLA,1/28/2025,1/7/2025,19,BUY,1000–15000
HSY,1/28/2025,1/7/2025,19,BUY,1000–15000
UPS,1/28/2025,1/7/2025,19,BUY,1000–15000
UPS,1/28/2025,1/7/2025,19,BUY,1000–15000
V,1/28/2025,1/20/2025,6,BUY,1000–15000
ADBE,12/30/2024,12/23/2024,3,BUY,1000–15000
AMZN,12/30/2024,12/23/2024,3,BUY,1000–15000
AMAT,12/30/2024,12/23/2024,3,BUY,1000–15000
CAT,12/30/2024,12/23/2024,3,BUY,1000–15000
DUK,12/30/2024,12/23/2024,3,BUY,1000–15000
LLY,12/30/2024,12/23/2024,3,BUY,1000–15000
GILD,12/30/2024,12/23/2024,3,BUY,1000–15000
JNJ,12/30/2024,12/23/2024,3,BUY,1000–15000
META,12/30/2024,12/23/2024,3,BUY,1000–15000
MSFT,12/30/2024,12/23/2024,3,BUY,1000–15000
NSC,12/30/2024,12/23/2024,3,BUY,1000–15000
NVDA,12/30/2024,12/23/2024,3,BUY,1000–15000
NOW,12/30/2024,12/23/2024,3,BUY,1000–15000
HSY,12/30/2024,12/23/2024,3,BUY,1000–15000
AMD,11/28/2024,11/24/2024,2,BUY,1000–15000
GOOGL,11/28/2024,11/24/2024,2,BUY,1000–15000
ASML,11/28/2024,11/24/2024,2,BUY,1000–15000
BRK/B,11/28/2024,11/24/2024,2,BUY,1000–15000
SCHW,11/28/2024,11/24/2024,2,BUY,1000–15000
