Ticker,Published,Traded,Filed_After,Action,Amount
GOOGL,1/20/2025,1/13/2025,3,BUY,250000–500000
AMZN,1/20/2025,1/13/2025,3,BUY,250000–500000
AAPL,1/20/2025,12/30/2024,17,SELL,5000000–25000000
NVDA,1/20/2025,12/30/2024,17,SELL,1000000–5000000
NVDA,1/20/2025,12/19/2024,28,BUY,500000–1000000
NVDA,1/20/2025,1/13/2025,3,BUY,250000–500000
PANW,1/20/2025,12/19/2024,28,BUY,1000000–5000000
TEM,1/20/2025,1/13/2025,3,BUY,50000–100000
VST,1/20/2025,1/13/2025,3,BUY,500000–1000000
MSFT,7/31/2024,7/25/2024,4,SELL,1000000–5000000
NVDA,7/31/2024,7/25/2024,4,BUY,1000000–5000000
AVGO,7/3/2024,6/23/2024,8,BUY,1000000–5000000
NVDA,7/3/2024,6/25/2024,6,BUY,1000000–5000000
TSLA,7/3/2024,6/23/2024,8,SELL,250000–500000
V,7/3/2024,6/30/2024,1,SELL,500000–1000000
PANW,2/26/2024,2/11/2024,11,BUY,500000–1000000
PANW,2/26/2024,2/20/2024,2,BUY,100000–250000
NVDA,12/22/2023,11/21/2023,29,BUY,1000000–5000000
AAPL,6/23/2023,6/14/2023,7,BUY,250000–500000
MSFT,6/23/2023,6/14/2023,7,BUY,500000–1000000
AAPL,4/7/2023,3/16/2023,20,BUY,500000–1000000
RBLX,1/26/2023,1/19/2023,5,SELL,<1000
AB,1/13/2023,12/27/2022,15,SELL,500000–1000000
GOOGL,1/13/2023,12/27/2022,15,SELL,500000–1000000
GOOGL,1/13/2023,12/19/2022,23,SELL,500000–1000000
GOOGL,1/13/2023,12/20/2022,22,SELL,500000–1000000
NFLX,1/13/2023,12/28/2022,14,SELL,250000–500000
NFLX,1/13/2023,12/29/2022,13,SELL,250000–500000
PYPL,1/13/2023,12/20/2022,22,SELL,250000–500000
PYPL,1/13/2023,12/27/2022,15,SELL,250000–500000
RBLX,1/13/2023,12/27/2022,15,SELL,100000–250000
CRM,1/13/2023,12/19/2022,23,SELL,<1000
TSLA,1/13/2023,12/19/2022,23,SELL,500000–1000000
DIS,1/13/2023,12/20/2022,22,SELL,500000–1000000
V,12/1/2022,11/7/2022,22,SELL,1000000–5000000
GOOGL,10/17/2022,9/15/2022,28,BUY,1000000–5000000
MU,10/17/2022,9/15/2022,28,SELL,15000–50000
NVDA,10/17/2022,9/15/2022,28,SELL,100000–250000
DIS,10/17/2022,9/15/2022,28,SELL,<1000
NVDA,7/27/2022,7/25/2022,0,SELL,1000000–5000000
AAPL,7/14/2022,6/16/2022,27,SELL,100000–250000
NVDA,7/14/2022,6/16/2022,27,BUY,1000000–5000000
V,7/14/2022,6/20/2022,23,SELL,1000000–5000000
AAPL,6/6/2022,5/12/2022,21,BUY,500000–1000000
AAPL,6/6/2022,5/23/2022,10,BUY,250000–500000
MSFT,6/6/2022,5/23/2022,10,BUY,50000–100000
MSFT,6/6/2022,5/23/2022,10,BUY,250000–500000
