Ticker,Published,Traded,Filed_After,Action,Amount
VOO,3/12/2025,2/17/2025,22,BUY,1000–15000
IVV,2/7/2025,1/12/2025,25,BUY,1000–15000
VTI,2/7/2025,1/12/2025,25,BUY,1000–15000
SCHX,2/7/2025,1/12/2025,25,BUY,1000–15000
DIA,2/7/2025,1/12/2025,25,BUY,1000–15000
ITOT,11/12/2024,10/23/2024,19,BUY,1000–15000
SPTM,11/12/2024,10/23/2024,19,SELL,1000–15000
VTV,11/12/2024,10/16/2024,26,SELL,1000–15000
SPY,11/12/2024,10/16/2024,26,SELL,1000–15000
VOO,11/12/2024,10/24/2024,18,SELL,1000–15000
IVV,11/12/2024,10/14/2024,28,SELL,1000–15000
VTI,11/12/2024,10/24/2024,18,BUY,1000–15000
SCHX,11/12/2024,10/16/2024,26,BUY,1000–15000
DIA,11/12/2024,10/14/2024,28,BUY,1000–15000
ITOT,8/15/2024,7/18/2024,27,SELL,1000–15000
SPTM,8/15/2024,7/18/2024,27,BUY,1000–15000
VTV,8/13/2024,1/23/2023,567,SELL,1000–15000
SPY,8/13/2024,9/14/2023,333,SELL,1000–15000
VOO,8/13/2024,5/10/2023,460,BUY,1000–15000
IVV,8/13/2024,5/9/2023,461,BUY,1000–15000
VTI,8/13/2024,11/29/2023,257,BUY,1000–15000
SCHX,8/13/2024,5/9/2023,461,BUY,1000–15000
DIA,8/13/2024,5/1/2023,469,BUY,1000–15000
ITOT,8/13/2024,5/3/2023,467,BUY,1000–15000
SPTM,8/13/2024,11/19/2023,267,BUY,1000–15000
VTV,8/13/2024,5/1/2023,469,BUY,1000–15000
SPY,8/13/2024,9/26/2023,321,BUY,1000–15000
VOO,8/13/2024,6/21/2023,418,BUY,1000–15000
IVV,8/13/2024,5/10/2023,460,BUY,1000–15000
VTI,8/13/2024,5/3/2023,467,BUY,1000–15000
SCHX,8/13/2024,8/31/2023,347,BUY,1000–15000
DIA,8/13/2024,5/24/2023,446,BUY,1000–15000
ITOT,8/13/2024,11/19/2023,267,BUY,1000–15000
SPTM,8/13/2024,5/24/2023,446,BUY,1000–15000
VTV,8/13/2024,5/9/2023,461,BUY,1000–15000
SPY,8/13/2024,11/19/2023,267,BUY,1000–15000
VOO,8/13/2024,11/19/2023,267,BUY,1000–15000
IVV,8/13/2024,11/26/2023,260,SELL,1000–15000
VTI,8/13/2024,5/3/2023,467,BUY,1000–15000
SCHX,8/13/2024,5/24/2023,446,BUY,1000–15000
DIA,8/13/2024,5/1/2023,469,BUY,1000–15000
ITOT,7/15/2024,6/5/2024,36,BUY,1000–15000
SPTM,7/15/2024,6/20/2024,21,BUY,1000–15000
